Date,Open,Close,OC Return,OC Return Sq,RV Daily,RQ Daily,J Daily,FSI US,FSI Vol
2013-01-02,66.7,67.21,0.00761709306029636,5.802010668921497e-05,6.997132124786252e-05,4.8547312687025725e-09,2.8390348929850878e-05,-1.128,-1.593
2013-01-03,67.2,66.97,-0.0034284896071450797,1.1754540986301823e-05,2.4851268239812154e-05,7.274405120068765e-10,1.2011433157059052e-05,-1.15,-1.632
2013-01-04,66.88,66.64,-0.003594970917858812,1.2923815900250627e-05,2.485361642781892e-05,7.380584278049203e-10,1.4158390127359451e-05,-1.168,-1.636
2013-01-07,66.45,66.66,0.0031552877203392007,9.95584059812335e-06,2.6148898905099754e-05,4.1066850620772247e-10,2.615302543557455e-06,-1.196,-1.694
2013-01-08,66.64,66.55,-0.0013514530174666705,1.826425258419769e-06,2.3751923280004764e-05,2.810455126472564e-10,7.69571596783029e-06,-1.194,-1.764
2013-01-09,66.62,66.76,0.002099266028100842,4.406917856738286e-06,2.872439052511397e-05,5.437135748570862e-10,9.415449424534108e-06,-1.176,-1.772
2013-01-10,67.21,67.15,-0.0008931230126276985,7.976687156851761e-07,4.868543240174711e-05,2.3113544442555024e-09,2.2546381765087832e-05,-1.214,-1.741
2013-01-11,67.14,67.26,0.001785714760234753,3.1887772049202617e-06,4.7949853503670146e-06,1.3419621955977453e-11,2.5640119002946225e-06,-1.198,-1.676
2013-01-14,66.9,66.95,0.0007471050029987865,5.581658855058168e-07,1.6489986292657633e-05,2.47836003751769e-10,8.15667072715126e-06,-1.21,-1.696
2013-01-15,66.64,66.63,-0.00015007128414151578,2.2521390323883567e-08,2.427554237468452e-05,3.4136379265510716e-10,5.144346947197429e-07,-1.204,-1.671
2013-01-16,66.75,66.89,0.0020951818499578214,4.389786984392679e-06,2.7736947551406957e-05,3.70595735004534e-10,3.184925435335408e-06,-1.2,-1.669
2013-01-17,67.18,67.23,0.0007439922967986866,5.53524537695785e-07,3.243007892186403e-06,9.358453328303554e-12,1.687106765247103e-06,-1.163,-1.537
2013-01-18,67.0,67.1,0.0014914245866698983,2.224347297723477e-06,1.3171648043029413e-05,1.196347168856702e-10,1.1407706421473571e-05,-1.182,-1.521
2013-01-22,67.15,67.2,0.0007443245598572956,5.540190504067568e-07,4.3561346414072874e-05,1.6058507376300392e-09,2.3345662916020293e-05,-1.244,-1.655
2013-01-23,67.55,67.59,0.0005919787060550498,3.50438788422611e-07,4.554155545201122e-06,1.518453331386333e-11,3.1753420795557093e-07,-1.273,-1.758
2013-01-24,66.68,66.66,-0.0002999850029997593,8.99910020247656e-08,0.00010156420354556901,7.2068903812086405e-09,2.9228866598144765e-05,-1.243,-1.676
2013-01-25,66.89,67.0,0.0016431402606493664,2.6999099161668678e-06,1.626698435282284e-05,2.895590074971192e-10,6.3434443087391535e-06,-1.239,-1.552
2013-01-28,67.02,67.14,0.0017889092427246362,3.200196278705631e-06,2.503840794759654e-05,2.756540597489648e-10,1.979718048132959e-07,-1.223,-1.436
2013-01-29,67.06,67.17,0.0016389782406905607,2.6862496734571258e-06,4.2240589976851114e-05,1.7241832430268301e-09,7.172246927994726e-06,-1.268,-1.539
2013-01-30,67.28,67.03,-0.003722735294826256,1.3858758075345131e-05,3.383912730261475e-05,8.055897021033732e-10,0.0,-1.197,-1.38
2013-01-31,66.99,66.89,-0.001493875389859433,2.2316636804276726e-06,5.378549946837822e-05,2.330745850987097e-09,4.715721343559583e-06,-1.183,-1.426
2013-02-01,67.34,67.65,0.004592940883868686,2.1095105962712465e-05,3.093530175932787e-05,7.308164650295158e-10,0.0,-1.246,-1.471
2013-02-04,67.25,66.46,-0.011816755555500368,0.0001396357118584488,8.682158514645775e-05,8.56921959695424e-09,5.603434842761999e-05,-1.103,-1.3
2013-02-05,66.76,67.46,0.010430730839869663,0.00010880014585380808,4.704704978608925e-05,1.2208708696027683e-09,6.129272735526568e-06,-1.128,-1.296
2013-02-06,67.21,67.24,0.00044626255854036105,1.9915027115498917e-07,4.357418543589773e-05,1.6012040946610344e-09,2.3736592304980708e-05,-1.129,-1.231
2013-02-07,67.33,67.3,-0.0004456659065073836,1.98618100223048e-07,0.00013025697942359402,1.528538612171774e-08,0.00010876017164032246,-1.132,-1.253
2013-02-08,67.64,67.99,0.005161111507988543,2.6637071997891772e-05,3.6939271257010065e-05,1.9945631335817118e-09,2.749401745415816e-05,-1.169,-1.311
2013-02-11,68.02,68.01,-0.00014702639150192343,2.1616759798076865e-08,1.6464952391307085e-05,1.456484639419801e-10,2.6014476911853466e-06,-1.168,-1.302
2013-02-12,67.92,67.71,-0.003096662505537993,9.58931867320484e-06,9.467231880883902e-06,5.3243139547681173e-11,2.1725819548530076e-06,-1.201,-1.321
2013-02-13,67.93,67.97,0.0005886681553362763,3.465301971070143e-07,5.759272048362667e-05,1.574371696874485e-09,0.0,-1.233,-1.343
2013-02-14,67.65,67.94,0.004277608115640689,1.829793119099509e-05,8.761892662393539e-06,5.287646348834811e-11,5.783128768948502e-08,-1.241,-1.387
2013-02-15,67.97,67.75,-0.003241971598736505,1.051037984701413e-05,2.0546147871585978e-05,5.255914573869881e-10,4.905874416105473e-06,-1.241,-1.375
2013-02-19,67.9,68.23,0.004848316262681798,2.35061705829848e-05,8.797343306536965e-06,5.6750909067426367e-11,2.4539036879282895e-06,-1.306,-1.386
2013-02-20,68.24,67.19,-0.01550647625136502,0.0002404508057341474,6.867923435451115e-05,2.67859647065199e-09,2.0921328413641766e-06,-1.192,-1.264
2013-02-21,66.96,66.48,-0.007194275634026973,5.175760189835421e-05,2.8030172839967976e-05,5.384563060806603e-10,1.2321813201489768e-08,-1.131,-1.15
2013-02-22,66.84,67.12,0.004180358431757811,1.7475396617968626e-05,1.6311981474179985e-05,1.3031080068306027e-10,7.18750951947587e-07,-1.172,-1.219
2013-02-25,67.6,66.28,-0.019719790490556166,0.0003888701369914294,0.00012390461138777915,1.8481544447873902e-08,6.396425597894431e-05,-0.938,-0.993
2013-02-26,66.42,66.56,0.0021055805643525917,4.433469512979379e-06,2.979067152877436e-05,4.4389488455435495e-10,0.0,-0.987,-0.894
2013-02-27,66.57,67.24,0.010014282927802586,0.00010028586255807833,9.75207470517825e-05,4.776169757279318e-09,1.3839730034351968e-05,-1.11,-1.071
