Date,Open,Close,OC Return,OC Return Sq,RV Daily,RQ Daily,J Daily,FSI US,FSI Vol
2013-01-02,145.11,146.08,0.006662341343656722,4.438679217939765e-05,6.599015872794592e-05,6.588523171524649e-09,5.054805399037957e-05,-1.128,-1.593
2013-01-03,145.99,145.77,-0.0015080891259672687,2.2743328118607207e-06,1.4343105750015039e-05,2.352377251517374e-10,7.305400050061555e-06,-1.15,-1.632
2013-01-04,145.97,146.4,0.002941480384724461,8.652306853718763e-06,2.76346868236953e-06,5.719004618860654e-12,8.987019886490131e-07,-1.168,-1.636
2013-01-07,145.85,145.97,0.0008224248287562118,6.763825989546842e-07,9.313566608895842e-06,5.882948029366796e-11,3.350098838640522e-06,-1.196,-1.694
2013-01-08,145.71,145.53,-0.001236094100528303,1.5279286253608743e-06,9.6223044213401e-06,9.987553412145513e-11,5.769520060347783e-06,-1.194,-1.764
2013-01-09,145.86,145.95,0.0006168397440366843,3.8049126982324216e-07,1.6570668924333028e-05,1.3441115855882884e-10,3.4694125097680214e-06,-1.176,-1.772
2013-01-10,146.73,147.06,0.002246503548700711,5.046778194324888e-06,1.766891198755994e-05,1.8834711815841838e-10,3.752693729384597e-06,-1.214,-1.741
2013-01-11,147.04,147.11,0.00047594765474361626,2.2652617005594855e-07,1.2309876237295796e-05,1.439129814875798e-10,4.060949671373394e-06,-1.198,-1.676
2013-01-14,146.89,146.96,0.000476433563546923,2.2698894047401993e-07,5.909870362421516e-06,3.3558465809893285e-11,3.5762686371299535e-06,-1.21,-1.696
2013-01-15,146.29,147.04,0.005113705617382105,2.6149985141245296e-05,8.462458534437096e-06,3.6316138528047356e-11,0.0,-1.204,-1.671
2013-01-16,146.77,147.04,0.0018379229842695177,3.3779608961061698e-06,9.80165938699418e-06,4.539788171707165e-11,0.0,-1.2,-1.669
2013-01-17,147.7,147.93,0.001555999366810547,2.421134029514823e-06,7.830826788685934e-06,4.548297012661224e-11,3.187788283895457e-06,-1.163,-1.537
2013-01-18,147.98,148.34,0.0024298068110072215,5.9039611388170835e-06,1.2670602934554052e-05,1.0827347558322488e-10,6.693132274452777e-06,-1.182,-1.521
2013-01-22,148.34,149.09,0.005043214131895781,2.5434008780153312e-05,1.799670226434961e-05,2.480236315168956e-10,3.5216423791520644e-06,-1.244,-1.655
2013-01-23,149.13,149.36,0.0015410904587763927,2.3749598021316325e-06,5.410731709799136e-06,1.4539064581787724e-11,0.0,-1.273,-1.758
2013-01-24,149.15,149.39,0.0016078250934682152,2.5851015311860747e-06,4.9493431047288055e-05,1.3251954807511603e-09,2.2575656030788605e-06,-1.243,-1.676
2013-01-25,149.88,150.2,0.0021327654045477816,4.5486882708358625e-06,9.408767077207995e-06,6.158525463672078e-11,0.0,-1.239,-1.552
2013-01-28,150.29,150.04,-0.001664835732316329,2.7716780155972476e-06,1.3749076316721162e-05,1.6624682767392416e-10,2.9816441641399884e-06,-1.223,-1.436
2013-01-29,149.77,150.67,0.005991230808892639,3.589484660542434e-05,1.0377772935402164e-05,1.1238490723292725e-10,1.8262771191693925e-06,-1.268,-1.539
2013-01-30,150.65,150.11,-0.003590906904225456,1.2894612394814047e-05,1.2135792169355718e-05,6.662849679735999e-11,0.0,-1.197,-1.38
2013-01-31,149.89,149.82,-0.0004671182227674612,2.181994340414315e-07,1.7265735174157677e-05,1.6605620238547582e-10,5.088279310795117e-07,-1.183,-1.426
2013-02-01,150.65,151.22,0.0037764645538135378,1.4261684526210083e-05,6.594469288566664e-06,4.296532452442379e-11,0.0,-1.246,-1.471
2013-02-04,150.32,149.55,-0.0051355700292527555,2.637407952535915e-05,1.941427134364305e-05,2.0202416762287563e-10,1.199406961612582e-06,-1.103,-1.3
2013-02-05,150.35,151.06,0.004711199450763986,2.2195400264878886e-05,2.0873293340675103e-05,2.3680056699181305e-10,5.229167041521447e-06,-1.128,-1.296
2013-02-06,150.5,151.16,0.004375794292357682,1.914757568903007e-05,2.4110748285611945e-05,3.2833308228636207e-10,3.3444954873935944e-06,-1.129,-1.231
2013-02-07,151.205,150.96,-0.001621630921446457,2.6296868453912856e-06,5.841709524328924e-05,4.053635306332646e-09,3.3672098276120625e-05,-1.132,-1.253
2013-02-08,151.22,151.78,0.0036963738456430484,1.3663179606753979e-05,1.1480608356430961e-05,2.1183857086622775e-10,8.390771962233079e-06,-1.169,-1.311
2013-02-11,151.75,151.75,0.0,0.0,6.181022460805926e-06,2.0576767215955584e-11,1.4965387151757322e-07,-1.168,-1.302
2013-02-12,151.78,152.01,0.0015142041801611999,2.2928142992176517e-06,3.160022405442207e-06,4.073871762187192e-12,0.0,-1.201,-1.321
2013-02-13,152.33,152.16,-0.0011166213515295992,1.2468432426917888e-06,3.36421233348409e-05,6.493087440535541e-10,2.8718416574450802e-06,-1.233,-1.343
2013-02-14,151.69,152.3,0.004013295297535311,1.6106539145219038e-05,7.390640857392406e-06,7.279376228993204e-11,6.033038719426182e-06,-1.241,-1.387
2013-02-15,152.44,152.15,-0.001904199662679316,3.625976355348021e-06,2.5999010110122483e-05,5.707154540572531e-10,0.0,-1.241,-1.375
2013-02-19,152.37,153.22,0.005563023607411465,3.094723165661727e-05,9.159666309100175e-06,9.047368763123934e-11,4.117124098549428e-06,-1.306,-1.386
2013-02-20,153.14,151.32,-0.011955735920148884,0.0001429396213923383,4.912257732714745e-05,1.3580589258764614e-09,1.754038099260804e-07,-1.192,-1.264
2013-02-21,150.96,150.4,-0.0037164895445553343,1.3812294534789117e-05,1.289062268929649e-05,1.0705214169543692e-10,2.7393875195563716e-06,-1.131,-1.15
2013-02-22,151.15,151.83,0.004488752668629224,2.0148900520125985e-05,1.5885730989278044e-05,1.3568774974752528e-10,1.074495256639571e-06,-1.172,-1.219
2013-02-25,152.63,149.02,-0.023936166801449124,0.0005729400811467952,0.0001614047146011009,3.294437297655492e-08,8.725370634349843e-05,-0.938,-0.993
2013-02-26,149.74,150.01,0.0018015017382596856,3.245408512952669e-06,3.94601798582134e-05,1.3193066203963582e-09,2.121084202094913e-05,-0.987,-0.894
2013-02-27,149.89,151.9,0.013320717859222848,0.00017744152428501855,6.204548315388164e-05,3.757604201885631e-09,2.7123482581557652e-05,-1.11,-1.071
2013-02-28,151.89,151.61,-0.0018451405564370005,3.404543673008644e-06,4.935632633588737e-05,3.1198745270239824e-09,3.217420773575073e-05,-1.097,-1.161
2013-03-01,151.09,152.13,0.006859732723287778,4.705593303494516e-05,2.3422864521068767e-05,3.801219965853963e-10,4.530680717087565e-06,-1.091,-1.169
