Date,Open,Close,OC Return,OC Return Sq,RV Daily,RQ Daily,FSI US,FSI Vol
2013-01-02,163.49,163.16,-0.0020205119379635337,4.082468491453155e-06,1.3126786592775672e-05,1.3559162300993737e-10,-1.128,-1.593
2013-01-03,162.48,161.23,-0.007723000296480861,5.9644733579443474e-05,3.444091895460206e-05,1.30938560703118e-09,-1.15,-1.632
2013-01-04,159.52,160.45,0.005813061342337636,3.379168216978024e-05,3.451024507808606e-05,9.991800129999898e-10,-1.168,-1.636
2013-01-07,159.35,159.44,0.0005646350411938309,3.188127297439591e-07,3.877426816940402e-06,7.820201807421452e-12,-1.196,-1.694
2013-01-08,160.44,160.56,0.0007476635862306695,5.590008381753057e-07,8.623609054080305e-06,5.4038146260459204e-11,-1.194,-1.764
2013-01-09,160.77,160.49,-0.0017431368418037944,3.0385260492537064e-06,1.9081092547386844e-05,2.435605693378007e-10,-1.176,-1.772
2013-01-10,161.61,162.0,0.002410309871831906,5.809593678250339e-06,2.690555266197203e-05,1.0441410765908104e-09,-1.214,-1.741
2013-01-11,161.85,161.06,-0.004893014004854477,2.394158605170205e-05,7.782738225919466e-05,8.559678023138545e-09,-1.198,-1.676
2013-01-14,161.88,161.54,-0.0021025299935145845,4.420632373628439e-06,1.4397655657875175e-05,1.3224113959359232e-10,-1.21,-1.696
2013-01-15,162.8,162.54,-0.001598328243381284,2.5546531735903012e-06,5.666394558017629e-06,2.5932099532494283e-11,-1.204,-1.671
2013-01-16,162.42,162.63,0.0012921090860918284,1.66954589036106e-06,5.573843557017754e-06,1.8164183843724777e-11,-1.2,-1.669
2013-01-17,161.94,163.35,0.008669241789110823,7.515575319806542e-05,8.914743659809336e-05,1.4463042042586319e-08,-1.163,-1.537
2013-01-18,163.95,163.08,-0.005320625339604483,2.8309054004441323e-05,1.688346476401238e-05,3.485627081293501e-10,-1.182,-1.521
2013-01-22,163.48,163.67,0.001161546821715974,1.3491910190384806e-06,1.0415843648294895e-05,7.95505337579715e-11,-1.244,-1.655
