Date,Open,Close,OC Return,OC Return Sq,RV Daily,RQ Daily,J Daily,FSI US,FSI Vol
2013-01-02,110.24,110.25,9.070706160708483e-05,8.227771025391483e-09,1.336996466058379e-08,3.3230763013949235e-16,1.2562186812419776e-08,-1.128,-1.593
2013-01-03,110.24,110.23,-9.071529012427843e-05,8.229263862332008e-09,1.6457408050452297e-08,3.668009492810344e-16,1.3226223383692767e-08,-1.15,-1.632
2013-01-04,110.23,110.235,4.535867372015614e-05,2.0574092816515835e-09,1.8515750380539224e-08,3.8516029385464223e-16,5.589399508906589e-09,-1.168,-1.636
2013-01-07,110.23,110.23,0.0,0.0,2.5697792109782987e-08,5.330007740831669e-16,0.0,-1.196,-1.694
2013-01-08,110.22,110.23,9.072352013487879e-05,8.230757105663757e-09,1.827268251441082e-08,4.063590855451634e-16,1.361813011890233e-08,-1.194,-1.764
2013-01-09,110.22,110.24,0.0001814388102590798,3.292004186823036e-08,5.28450296416692e-08,1.5560693071528923e-15,0.0,-1.176,-1.772
2013-01-10,110.24,110.233,-6.349983900379382e-05,4.032229553507734e-09,2.3515603603176807e-08,6.18144096149214e-16,1.4893905198625385e-08,-1.214,-1.741
2013-01-11,110.23,110.23,0.0,0.0,3.291705544935306e-08,1.1738269177437659e-15,7.064060554979205e-09,-1.198,-1.676
2013-01-14,110.24,110.23,-9.071529012427843e-05,8.229263862332008e-09,1.1778014038633084e-08,8.074122317189405e-17,3.949407402111083e-09,-1.21,-1.696
2013-01-15,110.23,110.23,0.0,0.0,3.8982307915137764e-08,1.1109659427969181e-15,1.825602866074822e-08,-1.204,-1.671
2013-01-16,110.22,110.23,9.072352013487879e-05,8.230757105663757e-09,1.9752204891327112e-08,4.796956149978933e-16,1.3023827850074192e-08,-1.2,-1.669
2013-01-17,110.22,110.22,0.0,0.0,4.9552380407737905e-08,1.7276144710825253e-15,8.178944309158236e-09,-1.163,-1.537
2013-01-18,110.22,110.2216,1.4516316339796744e-05,2.1072344007704995e-10,1.935902302718097e-08,4.066473115575326e-16,0.0,-1.182,-1.521
2013-01-22,110.23,110.22,-9.072352013480318e-05,8.230757105650039e-09,1.838439502247537e-08,3.586473338815078e-16,3.250906992627128e-09,-1.244,-1.655
2013-01-23,110.23,110.22,-9.072352013480318e-05,8.230757105650039e-09,4.914902265666337e-08,1.3454851298593548e-15,0.0,-1.273,-1.758
2013-01-24,110.22,110.22,0.0,0.0,3.060054250447367e-08,8.907912618737168e-16,9.609256525229393e-09,-1.243,-1.676
2013-01-25,110.22,110.23,9.072352013487879e-05,8.230757105663757e-09,2.429913436631172e-08,6.863230387275015e-16,8.498430721452543e-09,-1.239,-1.552
2013-01-28,110.23,110.22,-9.072352013480318e-05,8.230757105650039e-09,3.739236341425742e-08,1.0602517987991497e-15,0.0,-1.223,-1.436
2013-01-29,110.22,110.22,0.0,0.0,1.7347219216535973e-08,5.778541881154896e-16,1.2422497842561143e-08,-1.268,-1.539
2013-01-30,110.22,110.23,9.072352013487879e-05,8.230757105663757e-09,5.00860681118974e-08,1.3651939879997324e-15,0.0,-1.197,-1.38
2013-01-31,110.22,110.232,0.00010886723651277233,1.1852075185927907e-08,3.464795832853177e-08,1.025310191669455e-15,1.2671155385810297e-08,-1.183,-1.426
2013-02-01,110.23,110.23,0.0,0.0,2.7898689735790258e-08,6.731704247853556e-16,4.435891607721836e-09,-1.246,-1.471
2013-02-04,110.23,110.22,-9.072352013480318e-05,8.230757105650039e-09,1.97223829533739e-08,3.916195963789525e-16,0.0,-1.103,-1.3
2013-02-05,110.23,110.23,0.0,0.0,1.3169199424927775e-08,3.400654613769664e-16,1.791742492086417e-09,-1.128,-1.296
2013-02-06,110.23,110.2201,-8.981624419003552e-05,8.06695772040409e-09,2.7015773793844184e-08,7.981178929770535e-16,1.025888599678622e-08,-1.129,-1.231
