Date,Open,Close,OC Return,OC Return Sq,RV Daily,RQ Daily,FSI US,FSI Vol
2013-02-22,151.15,151.83,0.004488752668629224,2.0148900520125985e-05,1.8392475049716703e-05,3.2087234369331685e-10,-1.172,-1.219
2013-02-25,152.63,149.02,-0.023936166801449124,0.0005729400811467952,7.539284175964205e-05,8.998778320642374e-09,-0.938,-0.993
2013-02-26,149.74,150.01,0.0018015017382596856,3.245408512952669e-06,4.992828270775707e-05,2.186132493702558e-09,-0.987,-0.894
2013-02-27,149.89,151.9,0.013320717859222848,0.00017744152428501855,2.8371519404867955e-05,5.573085720565952e-10,-1.11,-1.071
2013-02-28,151.89,151.61,-0.0018451405564370005,3.404543673008644e-06,4.467157115059407e-05,6.385329100347506e-09,-1.097,-1.161
2013-03-01,151.09,152.13,0.006859732723287778,4.705593303494516e-05,6.21482465913996e-05,5.064378955726415e-09,-1.091,-1.169
2013-03-04,151.76,152.87,0.007287561386184137,5.3108550957402064e-05,2.7552194836140253e-05,1.0035546319484023e-09,-1.152,-1.24
2013-03-05,153.66,154.3,0.004156389929626269,1.7275577247098662e-05,1.823931361764663e-05,3.889514585306159e-10,-1.235,-1.364
2013-03-06,154.85,154.51,-0.0021980872568850267,4.831587588880342e-06,1.870675955502574e-05,2.3639809136163943e-10,-1.239,-1.369
2013-03-07,154.7,154.79,0.0005816020067656879,3.3826089427387527e-07,8.049719679883513e-06,5.962971632450759e-11,-1.268,-1.418
2013-03-08,155.46,155.43,-0.00019299430726701849,3.7246802637476347e-08,1.5292655012344093e-05,4.1171351723710957e-10,-1.295,-1.455
2013-03-11,155.32,156.0,0.004368502386070551,1.90838130971041e-05,6.932202199998257e-06,4.2451162522291285e-11,-1.36,-1.508
2013-03-12,155.92,155.69,-0.0014762044977221606,2.1791797190951367e-06,1.8693898605493197e-05,3.849015088523338e-10,-1.335,-1.531
2013-03-13,155.75,155.88,0.0008343228029458386,6.960945395154006e-07,1.3682221352709635e-05,2.0385833416119616e-10,-1.342,-1.557
2013-03-14,156.3,156.73,0.0027473422385456713,7.547889375697141e-06,8.02792909133912e-06,6.3021496750031e-11,-1.374,-1.628
2013-03-15,155.85,155.83,-0.00012833675582279958,1.6470322895120882e-08,1.1793280090772214e-05,3.639195516740324e-10,-1.372,-1.655
2013-03-18,154.34,154.96,0.004009058069283381,1.6072546602886195e-05,2.2519296395208706e-05,4.026493614418016e-10,-1.232,-1.408
2013-03-19,155.3,154.64,-0.004258895254566047,1.813818878936519e-05,5.5911212936757786e-05,2.9178948517525195e-09,-1.092,-1.23
2013-03-20,155.52,155.64,0.0007713074042238268,5.949151118104978e-07,2.3096510199895366e-05,5.880166426986557e-10,-1.21,-1.371
2013-03-21,154.76,154.36,-0.002587993162894067,6.6977086111864365e-06,2.9260506725955088e-05,7.821715813499405e-10,-1.123,-1.268
2013-03-22,154.85,155.51,0.004253131814034299,1.8089130227550683e-05,2.2181539620145012e-05,6.72948124849072e-10,-1.141,-1.145
2013-03-25,156.01,155.0,-0.006494990839911385,4.21849060105328e-05,5.743052973397431e-05,3.461568525265714e-09,-1.153,-1.246
2013-03-26,155.59,156.15,0.0035927414022162733,1.2907790783198953e-05,1.0004224194659361e-05,7.512556562442033e-11,-1.196,-1.299
2013-03-27,155.26,156.13,0.005587862575894575,3.122420816708315e-05,1.328987950616386e-05,2.571881617050338e-10,-1.144,-1.269
2013-03-28,156.09,156.59,0.0031981605870296187,1.0228231140429636e-05,8.41781830189163e-06,8.0498980502755e-11,-1.2,-1.345
2013-04-01,156.59,156.07,-0.0033263000028893688,1.1064271709221814e-05,2.3346173949344434e-05,6.520710841783686e-10,-1.12,-1.305
2013-04-02,156.61,156.8,0.001212469437965007,1.47008213799918e-06,1.1932997080251414e-05,1.6721168654677364e-10,-1.2,-1.37
2013-04-03,156.91,155.25,-0.010635671757388668,0.00011311751373091497,3.855681160927753e-05,1.8106775992379004e-09,-1.115,-1.293
2013-04-04,155.43,155.84,0.002634370399418286,6.939907401331259e-06,3.894470352369528e-05,2.2527176134185104e-09,-1.128,-1.329
2013-04-05,153.95,155.19,0.008022298313023986,6.43572702231475e-05,3.326901067798987e-05,1.0485378836010818e-09,-1.108,-1.231
2013-04-08,155.27,156.2,0.0059717004125069495,3.5661205816735673e-05,1.8870828083673376e-05,5.276459467480276e-10,-1.125,-1.162
2013-04-09,156.5,156.73,0.0014685696857687895,2.156696921959041e-06,2.342998967488851e-05,4.3890607228990726e-10,-1.176,-1.224
2013-04-10,157.17,158.69,0.009624591486513031,9.263276128225912e-05,2.2076523811837093e-05,4.961791303565193e-10,-1.235,-1.278
2013-04-11,158.71,159.21,0.0031454479884462094,9.893843048020305e-06,2.240269829696283e-05,4.460135601241405e-10,-1.259,-1.288
2013-04-12,158.68,158.81,0.0008189234764257277,6.706356602411994e-07,3.540717836601717e-05,1.488489065135355e-09,-1.239,-1.293
2013-04-15,158.01,155.11,-0.018523779526748135,0.0003431304079555734,9.264585454530025e-05,8.489338136810308e-09,-1.01,-1.112
2013-04-16,156.3,157.39,0.0069495641360785496,4.82964416814692e-05,2.945724990712743e-05,9.877882813437429e-10,-1.177,-1.229
2013-04-17,156.29,155.05,-0.00796561030764415,6.345094757324673e-05,7.807485926114536e-05,3.820258844113455e-09,-1.031,-1.104
2013-04-18,155.37,154.17,-0.007753479431662021,6.0116443297206016e-05,6.528013851259258e-05,5.03613671264814e-09,-0.98,-1.063
