Date,Open,Close,OC Return,OC Return Sq,RV Daily,RQ Daily,FSI US,FSI Vol
2013-01-02,163.49,163.16,-0.0020205119379635337,4.082468491453155e-06,3.298851666059918e-05,2.3486978799180128e-09,-1.128,-1.593
2013-01-03,162.48,161.23,-0.007723000296480861,5.9644733579443474e-05,5.1879384778467114e-05,1.6563772110840404e-08,-1.15,-1.632
2013-01-04,159.52,160.45,0.005813061342337636,3.379168216978024e-05,3.53241171025752e-05,1.8240933936939196e-09,-1.168,-1.636
2013-01-07,159.35,159.44,0.0005646350411938309,3.188127297439591e-07,1.557710663001072e-05,2.411069438951976e-10,-1.196,-1.694
2013-01-08,160.44,160.56,0.0007476635862306695,5.590008381753057e-07,1.4812923112813245e-05,2.308712285027704e-10,-1.194,-1.764
2013-01-09,160.77,160.49,-0.0017431368418037944,3.0385260492537064e-06,1.507666104846792e-05,2.8057658131649806e-10,-1.176,-1.772
2013-01-10,161.61,162.0,0.002410309871831906,5.809593678250339e-06,1.789201584513571e-05,6.107948401057438e-10,-1.214,-1.741
2013-01-11,161.85,161.06,-0.004893014004854477,2.394158605170205e-05,4.646416344768639e-05,5.657410548416793e-09,-1.198,-1.676
2013-01-14,161.88,161.54,-0.0021025299935145845,4.420632373628439e-06,2.1649736102486344e-05,1.5252715446557723e-09,-1.21,-1.696
2013-01-15,162.8,162.54,-0.001598328243381284,2.5546531735903012e-06,1.5752519825160436e-05,5.449265923436749e-10,-1.204,-1.671
2013-01-16,162.42,162.63,0.0012921090860918284,1.66954589036106e-06,1.1842421491133241e-05,2.0925343727370077e-10,-1.2,-1.669
2013-01-17,161.94,163.35,0.008669241789110823,7.515575319806542e-05,5.759144198143912e-05,1.0908676616957735e-08,-1.163,-1.537
2013-01-18,163.95,163.08,-0.005320625339604483,2.8309054004441323e-05,1.8441431368095803e-05,6.728165641835301e-10,-1.182,-1.521
2013-01-22,163.48,163.67,0.001161546821715974,1.3491910190384806e-06,8.44947071936111e-06,1.3704928154312053e-10,-1.244,-1.655
2013-01-23,163.92,163.22,-0.004279519889547485,1.8314290485032517e-05,2.082694796386629e-05,1.5727070236650274e-09,-1.273,-1.758
2013-01-24,161.98,161.42,-0.003463206924617591,1.1993802202719234e-05,2.467046668407155e-05,8.959505533092012e-10,-1.243,-1.676
2013-01-25,160.56,160.65,0.0005603810737846829,3.140269478560742e-07,1.228764243567131e-05,1.9538216955406037e-10,-1.239,-1.552
2013-01-28,160.24,160.28,0.0002495944103810084,6.229736969344322e-08,8.868001546843564e-06,1.2337750932240356e-10,-1.223,-1.436
2013-01-29,161.01,160.99,-0.00012422360264414218,1.5431503453889728e-08,7.743838302593121e-06,8.039797075014973e-11,-1.268,-1.539
2013-01-30,162.68,162.19,-0.003016593539425679,9.099836582104747e-06,2.7071325400030935e-05,1.5636620770670313e-09,-1.197,-1.38
2013-01-31,161.62,161.2,-0.002602070732773733,6.7707720983576315e-06,3.0634110632926104e-05,1.5613483904463957e-09,-1.183,-1.426
2013-02-01,162.66,161.46,-0.0074046987717595976,5.4829563900498094e-05,2.9553403452295098e-05,2.5694619299344927e-09,-1.246,-1.471
2013-02-04,161.19,161.98,0.004889077412004034,2.390307794056806e-05,1.8667562788374252e-05,5.560185243740937e-10,-1.103,-1.3
2013-02-05,162.75,161.97,-0.00480414819037337,2.3079839835067728e-05,2.6002442362152814e-05,1.9859514400380862e-09,-1.128,-1.296
2013-02-06,162.13,162.39,0.0016023669150183025,2.567579730345272e-06,1.5015392961938206e-05,3.9138220050998955e-10,-1.129,-1.231
2013-02-07,161.23,161.84,0.003776275883841789,1.4260259550885086e-05,4.009320372288677e-05,3.348698644253308e-09,-1.132,-1.253
2013-02-08,161.46,161.57,0.0006810513218694898,4.6383090302017943e-07,8.12562009466771e-06,1.6146627493597766e-10,-1.169,-1.311
2013-02-11,159.78,159.71,-0.000438198385677834,1.9201782521065976e-07,2.083158050920112e-05,4.671678712324716e-10,-1.168,-1.302
2013-02-12,159.35,159.87,0.00325794411345531,1.0614199846398104e-05,1.6165267065572743e-05,4.036539103522125e-10,-1.201,-1.321
2013-02-13,159.59,159.03,-0.0035151627432706604,1.2356369111678114e-05,1.2159067003323613e-05,1.2612524524400936e-10,-1.233,-1.343
2013-02-14,159.31,158.32,-0.0062336882904932885,3.8858869703033135e-05,2.7754512069465185e-05,1.1948154026818699e-09,-1.241,-1.387
2013-02-15,156.42,155.76,-0.004228336109521064,1.787882625507973e-05,4.835666305446851e-05,4.400188596592816e-09,-1.241,-1.375
2013-02-19,155.78,155.35,-0.0027641196527461113,7.640357454697282e-06,1.8811332464904294e-05,3.4006812109681326e-10,-1.306,-1.386
2013-02-20,153.9,151.43,-0.016179568876269416,0.000261778449021946,7.22392112832328e-05,1.2342153179526297e-08,-1.192,-1.264
2013-02-21,151.99,152.62,0.004136442653117191,1.7110157822527186e-05,3.9619975221090875e-05,2.4223310891142446e-09,-1.131,-1.15
2013-02-22,152.26,152.97,0.004652237857107544,2.1643317079104593e-05,1.7434243560583346e-05,4.29962668292742e-10,-1.172,-1.219
2013-02-25,153.52,154.32,0.005197516898028998,2.7014181905296974e-05,2.2644819396296534e-05,4.041257682005361e-10,-0.938,-0.993
2013-02-26,154.39,156.21,0.01171938718908236,0.00013734403608762775,6.824718575388033e-05,6.905201516334481e-09,-0.987,-0.894
2013-02-27,155.46,154.57,-0.005741395637846448,3.2963623870282226e-05,2.5863777671442423e-05,1.1227649404190564e-09,-1.11,-1.071
2013-02-28,154.09,152.95,-0.00742577669684965,5.5142159551475305e-05,4.048594128405291e-05,2.1213005096295783e-09,-1.097,-1.161
2013-03-01,153.1599,152.46,-0.004580207136765322,2.097829741567599e-05,4.439924784487009e-05,2.528677407898622e-09,-1.091,-1.169
2013-03-04,152.45,152.31,-0.0009187558068510341,8.441122326224946e-07,1.8439692096424652e-05,2.994318572534711e-10,-1.152,-1.24
2013-03-05,153.1,152.4,-0.004582659411092128,2.1000767278071254e-05,1.978461120223816e-05,4.854787467502472e-10,-1.235,-1.364
2013-03-06,152.17,153.23,0.006941743658061651,4.818780501423916e-05,3.829068293053122e-05,3.3759771232574395e-09,-1.239,-1.369
2013-03-07,153.02,152.69,-0.002158909608285609,4.6608906967479215e-06,1.3275980327314884e-05,3.9206942999150177e-10,-1.268,-1.418
