Date,Open,Close,OC Return,OC Return Sq,RV Daily,RQ Daily,J Daily,FSI US,FSI Vol
2013-01-02,34.04,33.79,-0.007371402978974771,5.433758187843813e-05,4.8981114594033885e-05,3.0340007610844947e-09,1.537331207845227e-05,-1.128,-1.593
2013-01-03,33.85,33.78,-0.0020700879786299743,4.285264239268333e-06,1.8090222404068423e-05,3.712464753169838e-10,1.3278865285907948e-05,-1.15,-1.632
2013-01-04,33.7,33.814,0.003377080556458555,1.1404673084810425e-05,2.529044151522637e-05,4.138671781488607e-10,0.0,-1.168,-1.636
2013-01-07,33.74,33.905,0.004878419017983183,2.379897211502e-05,2.9811461145971323e-05,1.6046486857518146e-09,2.3309841863917404e-05,-1.196,-1.694
2013-01-08,34.01,33.9,-0.0032395846326995115,1.049490859242283e-05,5.0062625187714535e-05,3.613784845900859e-09,2.0194743750505153e-05,-1.194,-1.764
2013-01-09,33.95,33.9,-0.0014738396183006637,2.172203220472646e-06,1.2113202596830941e-05,1.2194602912248025e-10,2.250777156540729e-06,-1.176,-1.772
2013-01-10,34.28,34.18,-0.0029214160421342983,8.534671691239628e-06,2.8723461405161197e-06,9.495682429488137e-12,2.098979358259398e-06,-1.214,-1.741
2013-01-11,33.87,34.07,0.005887564843194925,3.4663419782824885e-05,3.7672948575204795e-05,7.702777106089243e-10,6.154709997048779e-06,-1.198,-1.676
2013-01-14,34.12,34.269,0.004357432796441454,1.898722057550359e-05,7.657429295817626e-05,4.61134230026336e-09,3.855386139447922e-05,-1.21,-1.696
2013-01-15,34.25,33.99,-0.007620201000209591,5.8067463283595255e-05,2.4068231048665078e-05,5.300066396157806e-10,1.2461528342426665e-05,-1.204,-1.671
2013-01-16,34.04,34.26,0.006442189190800379,4.150180157006524e-05,2.736114228224844e-05,4.743011659361837e-10,1.985701566032091e-06,-1.2,-1.669
2013-01-17,34.7,34.68,-0.0005765350404725269,3.3239265289265823e-07,3.1312621076216594e-05,7.028884297222105e-10,1.0757279982682975e-05,-1.163,-1.537
2013-01-18,34.7,34.74,0.0011520738601453878,1.3272741792302947e-06,1.5333465819925995e-05,1.422347561938937e-10,0.0,-1.182,-1.521
2013-01-22,34.82,35.02,0.00572739251766283,3.2803025051380164e-05,2.7572129077820884e-05,8.386288999368605e-10,0.0,-1.244,-1.655
2013-01-23,34.92,34.53,-0.01123121956950045,0.00012614029301832985,5.6184442833975974e-05,2.954972754706672e-09,5.168509098671018e-06,-1.273,-1.758
2013-01-24,34.8,34.7301,-0.0020106406735668166,4.042675918201222e-06,7.598862442697006e-05,4.690791942400277e-09,0.0,-1.243,-1.676
2013-01-25,34.87,34.74,-0.003735099874600739,1.3950971073242456e-05,2.3119596496737976e-05,4.684780136901196e-10,0.0,-1.239,-1.552
2013-01-28,34.96,34.93,-0.0008584919685941476,7.370084601406549e-07,7.906835518824993e-05,6.620973718442959e-09,2.6543344127949735e-05,-1.223,-1.436
2013-01-29,35.18,35.28,0.002838491829178432,8.057035864312721e-06,4.0052322428329955e-05,1.954596371111532e-09,5.8159927846702665e-06,-1.268,-1.539
2013-01-30,35.42,35.49,0.001974334303717608,3.8979959428360915e-06,2.0690641007672486e-05,2.6777220707362294e-10,3.8296466412879775e-06,-1.197,-1.38
2013-01-31,35.16,35.28,0.0034071583216143558,1.1608727828545953e-05,9.44927622729149e-06,1.3252432395500514e-10,7.027336064500255e-06,-1.183,-1.426
2013-02-01,35.02,35.34,0.009096140033844503,8.273976351530867e-05,9.155548478456762e-05,8.730842214985381e-09,1.604789203402861e-05,-1.246,-1.471
2013-02-04,34.8899,34.86,-0.000857348951940897,7.350472253941544e-07,2.32072358193757e-05,6.048489836516683e-10,1.535740065104566e-05,-1.103,-1.3
2013-02-05,35.05,35.0,-0.001427551991185335,2.0379046875372147e-06,2.200286022564108e-06,4.504660870204358e-12,1.4328908486919587e-06,-1.128,-1.296
2013-02-06,34.55,35.04,0.014082715854511953,0.00019832288583892233,0.0001166343450992223,1.856696280078367e-08,5.0470750608601014e-05,-1.129,-1.231
2013-02-07,35.1,34.69,-0.011749669490161893,0.00013805473312804124,9.931223176976245e-05,1.7974229020840398e-08,7.054759600925152e-05,-1.132,-1.253
2013-02-08,34.88,34.641,-0.006875647402950528,4.727452720970034e-05,9.678301776788109e-05,1.4599973047242455e-08,3.0419148469082495e-05,-1.169,-1.311
2013-02-11,34.55,35.11,0.016078439966662066,0.00025851623176155605,0.00010637013149955888,1.5690745925761744e-08,4.2318627626886535e-05,-1.168,-1.302
2013-02-12,35.26,35.29,0.0008504607174545157,7.232834319332495e-07,6.670376299701338e-06,2.7127106303040843e-11,0.0,-1.201,-1.321
2013-02-13,35.43,35.135,-0.00836113423321964,6.99085656659174e-05,4.283752841625371e-05,1.5257697575137554e-09,1.1781986060272959e-06,-1.233,-1.343
