Date,Open,Close,OC Return,OC Return Sq,RV Daily,RQ Daily,J Daily,FSI US,FSI Vol
2013-01-02,110.24,110.245,4.535455927503125e-05,2.057036047032323e-09,1.1148557160382797e-08,1.446000781236701e-16,2.295659382362276e-09,-1.128,-1.593
2013-01-03,110.24,110.23,-9.071529012427843e-05,8.229263862332008e-09,1.1357599877702134e-08,1.452177624559437e-16,8.487016838736424e-09,-1.15,-1.632
2013-01-04,110.23,110.235,4.535867372015614e-05,2.0574092816515835e-09,2.0574092816515835e-09,8.465865904452169e-18,2.0574092816515835e-09,-1.168,-1.636
2013-01-07,110.23,110.23,0.0,0.0,1.451995749328039e-08,1.2519864796111374e-16,3.015169920667808e-09,-1.196,-1.694
2013-01-08,110.22,110.23,9.072352013487879e-05,8.230757105663757e-09,1.1687822942368184e-08,1.47442029264182e-16,8.58476455218163e-09,-1.194,-1.764
2013-01-09,110.22,110.238,0.00016329641056340427,2.666571770289189e-08,1.0786786423009063e-08,1.352330912421155e-16,2.220906102438648e-09,-1.176,-1.772
2013-01-10,110.24,110.235,-4.535661640415677e-05,2.0572226516338232e-09,2.2630195679574597e-08,2.962761250942897e-16,0.0,-1.214,-1.741
2013-01-11,110.23,110.23,0.0,0.0,1.711682105811129e-08,2.713164849767906e-16,1.4014593002394892e-08,-1.198,-1.676
2013-01-14,110.24,110.23,-9.071529012427843e-05,8.229263862332008e-09,9.053876560665512e-09,9.364308898837136e-17,2.5504294825471385e-09,-1.21,-1.696
2013-01-15,110.23,110.2214,-7.802173181361751e-05,6.087390635196054e-09,3.5882610385844094e-08,5.22881803029904e-16,0.0,-1.204,-1.671
2013-01-16,110.22,110.23,9.072352013487879e-05,8.230757105663757e-09,8.230757105663757e-09,1.3549072506486887e-16,8.230757105663757e-09,-1.2,-1.669
2013-01-17,110.22,110.22,0.0,0.0,1.6298552465099927e-08,2.65642812457612e-16,1.6170562608923432e-08,-1.163,-1.537
2013-01-18,110.22,110.22,0.0,0.0,9.712371041005623e-09,8.82601116903333e-17,5.963005389537552e-09,-1.182,-1.521
2013-01-22,110.23,110.22,-9.072352013480318e-05,8.230757105650039e-09,5.76158821852748e-09,5.574286234486233e-17,3.563751761056992e-09,-1.244,-1.655
2013-01-23,110.23,110.22,-9.072352013480318e-05,8.230757105650039e-09,6.138610114737918e-09,2.1165683733068023e-17,0.0,-1.273,-1.758
2013-01-24,110.22,110.2245,4.082660261997828e-05,1.6668114814896176e-09,6.277671302363339e-09,5.753213310130476e-17,2.5528741397307055e-09,-1.243,-1.676
2013-01-25,110.22,110.22,0.0,0.0,1.8372148824670438e-09,3.375358524360402e-18,1.3252093050610595e-09,-1.239,-1.552
2013-01-28,110.23,110.22,-9.072352013480318e-05,8.230757105650039e-09,7.572444391650577e-09,2.888764488467351e-17,5.906627151943088e-10,-1.223,-1.436
2013-01-29,110.22,110.2284,7.620831000861517e-05,5.807706514369196e-09,5.671068880713867e-09,6.430337465666854e-17,5.5637539341814334e-09,-1.268,-1.539
2013-01-30,110.22,110.23,9.072352013487879e-05,8.230757105663757e-09,3.786081064349305e-09,1.866944926853929e-17,1.0709888406781508e-09,-1.197,-1.38
2013-01-31,110.22,110.23,9.072352013487879e-05,8.230757105663757e-09,2.670557336277123e-08,4.1043927937482734e-16,7.670668640641309e-09,-1.183,-1.426
