Date,Open,Close,OC Return,OC Return Sq,RV Daily,RQ Daily,J Daily,FSI US,FSI Vol
2013-01-02,110.24,110.25,9.070706160708483e-05,8.227771025391483e-09,6.283379797193192e-08,9.83515600676408e-15,2.1529444664374438e-08,-1.128,-1.593
2013-01-03,110.24,110.23,-9.071529012427843e-05,8.229263862332008e-09,9.338253208295107e-08,1.5255967279497678e-14,2.045536540318433e-08,-1.15,-1.632
2013-01-04,110.23,110.235,4.535867372015614e-05,2.0574092816515835e-09,6.887724033784094e-08,7.542797867310896e-15,1.384642364849439e-08,-1.168,-1.636
2013-01-07,110.23,110.23,0.0,0.0,1.4797337030370408e-07,2.5595971172276035e-14,1.4837586678705105e-08,-1.196,-1.694
2013-01-08,110.22,110.23,9.072352013487879e-05,8.230757105663757e-09,5.771486308762863e-08,8.106719342317123e-15,2.1879448718733447e-08,-1.194,-1.764
2013-01-09,110.22,110.23,9.072352013487879e-05,8.230757105663757e-09,9.500153149687282e-08,1.2810820503064807e-14,1.8864991574140396e-08,-1.176,-1.772
2013-01-10,110.24,110.24,0.0,0.0,1.222466404337806e-07,1.8902227658655904e-14,5.185137822565339e-09,-1.214,-1.741
2013-01-11,110.23,110.23,0.0,0.0,1.3690414375312715e-07,2.3940153943267166e-14,2.5119441959482897e-08,-1.198,-1.676
2013-01-14,110.24,110.23,-9.071529012427843e-05,8.229263862332008e-09,1.1666679012027102e-07,1.3706448259524978e-14,0.0,-1.21,-1.696
2013-01-15,110.23,110.23,0.0,0.0,1.184482600350524e-07,1.8366501832536076e-14,3.79231360527766e-08,-1.204,-1.671
2013-01-16,110.22,110.23,9.072352013487879e-05,8.230757105663757e-09,9.689148904148872e-08,1.5019533802361642e-14,2.7390903398424607e-08,-1.2,-1.669
2013-01-17,110.22,110.22,0.0,0.0,1.7584765604178323e-07,2.9558751856823184e-14,1.6005156269267354e-08,-1.163,-1.537
2013-01-18,110.22,110.23,9.072352013487879e-05,8.230757105663757e-09,9.849658184529869e-08,1.208706057544055e-14,0.0,-1.182,-1.521
2013-01-22,110.23,110.23,0.0,0.0,1.3446583809226585e-07,1.8421441878414457e-14,2.3740822365694977e-09,-1.244,-1.655
2013-01-23,110.23,110.22,-9.072352013480318e-05,8.230757105650039e-09,1.1880597417877763e-07,1.7097095610264033e-14,1.5383761844946818e-08,-1.273,-1.758
2013-01-24,110.22,110.22,0.0,0.0,1.823806315524707e-07,2.954424450595247e-14,1.2331001274055376e-08,-1.243,-1.676
2013-01-25,110.22,110.22,0.0,0.0,1.4532801702208535e-07,2.3952582980742135e-14,2.2524975200577415e-08,-1.239,-1.552
2013-01-28,110.23,110.22,-9.072352013480318e-05,8.230757105650039e-09,1.470791903429747e-07,2.5677305257825423e-14,1.2530512036034447e-09,-1.223,-1.436
2013-01-29,110.22,110.2284,7.620831000861517e-05,5.807706514369196e-09,1.4871784508608606e-07,2.4677770583997385e-14,0.0,-1.268,-1.539
