Date,Open,Close,OC Return,OC Return Sq,RV Daily,RQ Daily,FSI US,FSI Vol
2013-01-02,34.04,33.795,-0.007223441152855835,5.217810208877124e-05,9.616421212611638e-05,2.2316267253065666e-08,-1.128,-1.593
2013-01-03,33.85,33.72,-0.003847866224629384,1.4806074482643587e-05,4.257767703413764e-05,2.083548780153176e-09,-1.15,-1.632
2013-01-04,33.7,33.86,0.004736539346673114,2.2434804982582574e-05,4.8323178038858455e-05,2.696687043247705e-09,-1.168,-1.636
2013-01-07,33.74,33.92,0.005320733805880062,2.8310208233034926e-05,3.142754205194381e-05,1.2689427257994982e-09,-1.196,-1.694
2013-01-08,34.01,33.95,-0.001765745014398853,3.1178554558744054e-06,3.646588410402498e-05,1.431278112186032e-09,-1.194,-1.764
2013-01-09,33.95,33.88,-0.0020639842208514825,4.260030863923902e-06,3.548103613682205e-05,3.7661328901351505e-09,-1.176,-1.772
2013-01-10,34.28,34.18,-0.0029214160421342983,8.534671691239628e-06,3.507929739467279e-05,1.8564862748640197e-09,-1.214,-1.741
2013-01-11,33.87,34.09,0.006474419320131594,4.191810553289326e-05,2.919016921373894e-05,1.0813188312997453e-09,-1.198,-1.676
2013-01-14,34.12,34.26,0.004094770272495525,1.676714358451307e-05,5.935709815024767e-05,4.6501062472224775e-09,-1.21,-1.696
2013-01-15,34.25,33.995,-0.0074731097298114104,5.584736903380197e-05,3.839177364497994e-05,2.837525987595441e-09,-1.204,-1.671
2013-01-16,34.04,34.27,0.0067340321813441194,4.534718941937824e-05,4.802521764021799e-05,8.179962750623016e-09,-1.2,-1.669
2013-01-17,34.7,34.681,-0.0005477003927578924,2.999757202271496e-07,3.2415632823617e-05,1.1637818344887334e-09,-1.163,-1.537
2013-01-18,34.7,34.73,0.0008641798031690474,7.468067322052935e-07,3.596578634991281e-05,2.3959932661423328e-09,-1.182,-1.521
2013-01-22,34.82,35.01,0.005441800626531167,2.9613194058915004e-05,2.6355200165171097e-05,7.389320284396381e-10,-1.244,-1.655
2013-01-23,34.92,34.62,-0.008628181223338343,7.444551122276835e-05,8.032819454185925e-05,2.4434654141447047e-08,-1.273,-1.758
2013-01-24,34.8,34.76,-0.0011500863832373297,1.322698688907922e-06,5.990323933605522e-05,3.2567102511534112e-09,-1.243,-1.676
2013-01-25,34.87,34.77,-0.0028719146677896492,8.247893859065332e-06,4.8996754273669866e-05,2.2638583360876703e-09,-1.239,-1.552
2013-01-28,34.96,34.91,-0.0014312296703902219,2.048418369405303e-06,4.507079808379765e-05,3.882763271026567e-09,-1.223,-1.436
2013-01-29,35.18,35.28,0.002838491829178432,8.057035864312721e-06,4.737137182747938e-05,4.09423180964458e-09,-1.268,-1.539
2013-01-30,35.42,35.49,0.001974334303717608,3.8979959428360915e-06,1.9444160726270335e-05,3.831111484468394e-10,-1.197,-1.38
2013-01-31,35.16,35.3,0.003973891122274857,1.5791810651694923e-05,4.979888379196521e-05,3.3307182314234517e-09,-1.183,-1.426
2013-02-01,35.02,35.34,0.009096140033844503,8.273976351530867e-05,5.355469877813002e-05,3.169646727411271e-09,-1.246,-1.471
2013-02-04,34.8899,34.79,-0.0028673998799650475,8.221982071623569e-06,3.8348660822036834e-05,2.140673019099211e-09,-1.103,-1.3
2013-02-05,35.05,34.98,-0.001999143890143104,3.996576293496502e-06,2.501052351897432e-05,7.846645731603652e-10,-1.128,-1.296
2013-02-06,34.55,35.04,0.014082715854511953,0.00019832288583892233,6.633395260261935e-05,5.821896781516428e-09,-1.129,-1.231
2013-02-07,35.1,34.6901,-0.011746786819194199,0.00013798700057559456,6.044027042054332e-05,3.99114832226345e-09,-1.132,-1.253
2013-02-08,34.88,34.7,-0.005173912087965326,2.676936629399372e-05,6.66770570907445e-05,6.691818836743438e-09,-1.169,-1.311
2013-02-11,34.55,35.11,0.016078439966662066,0.00025851623176155605,9.044248149622792e-05,1.8717004624835724e-08,-1.168,-1.302
2013-02-12,35.26,35.29,0.0008504607174545157,7.232834319332495e-07,2.5438385487550178e-05,7.623947252483156e-10,-1.201,-1.321
2013-02-13,35.43,35.17,-0.007365472391489467,5.425018354979357e-05,6.117629642967998e-05,7.74127268018839e-09,-1.233,-1.343
2013-02-14,35.27,35.24,-0.0008509431799818723,7.241042955576612e-07,1.872600154378417e-05,4.790029420698122e-10,-1.241,-1.387
2013-02-15,34.69,34.72,0.0008644288104911102,7.472371684070757e-07,8.089954413807032e-05,1.7852262493045306e-08,-1.241,-1.375
