Date,Open,Close,OC Return,OC Return Sq,RV Daily,RQ Daily,J Daily,FSI US,FSI Vol
2013-01-02,121.03,121.27,0.0019810159181879784,3.924424068114159e-06,3.924424068114159e-06,5.133701422131228e-12,3.924424068114159e-06,-1.128,-1.593
2013-01-03,121.14,120.6,-0.004467617259716157,1.9959603979313702e-05,1.9959603979313702e-05,1.327952636703451e-10,1.9959603979313702e-05,-1.15,-1.632
2013-01-04,120.57,120.57,0.0,0.0,0.0,0.0,0.0,-1.168,-1.636
2013-01-07,120.64,120.76,0.0009942005789921147,9.88434791268256e-07,9.88434791268256e-07,3.256677788631736e-13,9.88434791268256e-07,-1.196,-1.694
2013-01-08,120.81,120.81,0.0,0.0,0.0,0.0,0.0,-1.194,-1.764
2013-01-09,120.98,120.82,-0.0013234079681731042,1.7514086502240638e-06,1.7514086502240638e-06,1.022477420026559e-12,1.7514086502240638e-06,-1.176,-1.772
2013-01-10,120.64,120.64,0.0,0.0,0.0,0.0,0.0,-1.214,-1.741
2013-01-11,120.73,121.1,0.0030600032147504674,9.363619674283195e-06,9.363619674283195e-06,2.922579113487444e-11,9.363619674283195e-06,-1.198,-1.676
2013-01-14,121.19,121.19,0.0,0.0,0.0,0.0,0.0,-1.21,-1.696
2013-01-15,120.97,120.97,0.0,0.0,0.0,0.0,0.0,-1.204,-1.671
2013-01-16,120.84,120.76,-0.0006622516798331541,4.385772874418344e-07,4.385772874418344e-07,6.41166790199458e-14,4.385772874418344e-07,-1.2,-1.669
2013-01-17,120.57,120.57,0.0,0.0,0.0,0.0,0.0,-1.163,-1.537
2013-01-18,120.58,120.67,0.0007461140242499919,5.566861371825174e-07,5.566861371825174e-07,1.0329981844373088e-13,5.566861371825174e-07,-1.182,-1.521
2013-01-22,120.53,120.53,0.0,0.0,0.0,0.0,0.0,-1.244,-1.655
2013-01-23,120.85,120.85,0.0,0.0,0.0,0.0,0.0,-1.273,-1.758
2013-01-24,120.76,120.76,0.0,0.0,0.0,0.0,0.0,-1.243,-1.676
2013-01-25,120.44,120.44,0.0,0.0,0.0,0.0,0.0,-1.239,-1.552
2013-01-28,119.72,120.0,0.002336059797547928,5.457175377719666e-06,5.457175377719666e-06,9.926921034396596e-12,5.457175377719666e-06,-1.223,-1.436
2013-01-29,119.77,119.77,0.0,0.0,0.0,0.0,0.0,-1.268,-1.539
2013-01-30,119.39,119.33,-0.0005026809757326519,2.52688163363531e-07,2.52688163363531e-07,2.1283769301344845e-14,2.52688163363531e-07,-1.197,-1.38
2013-01-31,119.38,119.42,0.0003350083783426004,1.1223061355973889e-07,1.1223061355973889e-07,4.198570206665149e-15,1.1223061355973889e-07,-1.183,-1.426
2013-02-01,119.5,119.5,0.0,0.0,0.0,0.0,0.0,-1.246,-1.471
2013-02-04,118.98,118.98,0.0,0.0,0.0,0.0,0.0,-1.103,-1.3
2013-02-05,118.94,118.94,0.0,0.0,0.0,0.0,0.0,-1.128,-1.296
2013-02-06,119.08,119.08,0.0,0.0,0.0,0.0,0.0,-1.129,-1.231
2013-02-07,119.12,119.12,0.0,0.0,0.0,0.0,0.0,-1.132,-1.253
2013-02-08,119.41,119.41,0.0,0.0,0.0,0.0,0.0,-1.169,-1.311
2013-02-11,119.48,119.45,-0.00025111957609055054,6.306104149589781e-08,6.306104149589781e-08,1.3255649848491148e-15,6.306104149589781e-08,-1.168,-1.302
2013-02-12,119.17,119.33,0.0013417192788495534,1.8002106232365655e-06,1.8002106232365655e-06,1.0802527626712613e-12,1.8002106232365655e-06,-1.201,-1.321
2013-02-13,118.93,119.05,0.0010084881937177622,1.0170484368681147e-06,1.0170484368681147e-06,3.4479584097862514e-13,1.0170484368681147e-06,-1.233,-1.343
2013-02-14,119.08,119.08,0.0,0.0,0.0,0.0,0.0,-1.241,-1.387
2013-02-15,119.38,119.33,-0.00041891835893939443,1.7549259145647531e-07,1.7549259145647531e-07,1.0265883218703117e-14,1.7549259145647531e-07,-1.241,-1.375
2013-02-19,119.37,119.37,0.0,0.0,0.0,0.0,0.0,-1.306,-1.386
2013-02-20,119.16,119.16,0.0,0.0,0.0,0.0,0.0,-1.192,-1.264
